target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
C07AB02,968,6419,100,61.39,57.23,65.67,60.94,59.52,63.12,-0.44,-4.46,4.13,0.874,1.01,0.93,1.07
C07AB07,162,9877,96.55,66.78,53.96,81.4,62.69,61.23,63.91,-4.09,-18.38,8.72,0.482,1.07,0.86,1.29
C08CA01,468,9582,100,62.65,55.95,69.55,62.38,60.98,63.58,-0.27,-7.01,6.4,0.956,1,0.9,1.11
C08CA05,183,10000,100,67.89,56.31,79.27,62.73,61.36,63.83,-5.17,-16.42,6.22,0.354,1.08,0.9,1.26
C08CA13,144,10000,100,58.18,43.78,72.78,62.46,61.03,63.69,4.27,-10.1,18.06,0.626,0.93,0.71,1.16
C09AA02,188,10000,100,66.8,56.82,75.04,62.09,60.72,63.24,-4.7,-13.49,5.64,0.300,1.08,0.91,1.22
C09AA05,381,10000,100,58.37,50.21,67.39,61.47,60.41,63.04,3.1,-5.81,11.18,0.468,0.95,0.82,1.09
C09CA01,281,10000,100,51.56,43.23,60.5,63.53,62.04,64.61,11.97,2.56,20.12,0.008,0.81,0.68,0.96
C09CA03,165,10000,100,63.59,49.8,77.71,63.49,62.07,64.6,-0.1,-14.12,14.07,0.988,1,0.78,1.22
C09CA06,410,9913,100,63.98,56.43,70.67,63.52,62,64.7,-0.47,-7.55,7.16,0.870,1.01,0.89,1.12
C09DA01,116,10000,89.66,57.7,36.11,76.98,62.69,61.44,64.02,4.99,-14.05,26.94,0.702,0.92,0.57,1.22
C09DA06,138,10000,96.55,64.74,47.57,80.5,63.91,62.31,64.79,-0.84,-16.91,16.02,0.906,1.01,0.75,1.26
C10AA01,569,7219,100,61.42,56.35,66.63,62.78,61,64.5,1.36,-4.13,6.4,0.584,0.98,0.9,1.07
C10AA05,811,8268,89.66,54.61,49.05,60.69,64.94,62.99,65.9,10.33,3.92,15.61,<0.001,0.84,0.76,0.94
C10AX09,105,9835,51.72,16.44,1.65,71.45,64.56,63.03,65.84,48.12,-6.9,62.62,0.094,0.25,0.03,1.11
D01AC01,284,7095,100,59.77,51.25,70.16,57.71,56.27,59.43,-2.06,-12.48,6.92,0.616,1.04,0.88,1.21
D01AC08,358,6888,100,55.38,47.91,63,57.27,55.52,58.79,1.89,-5.86,9.32,0.594,0.97,0.84,1.1
D01AC20,1066,6367,100,60.5,56.71,64.96,57.46,55.84,59.33,-3.04,-7.57,1.28,0.162,1.05,0.98,1.13
D01AE15,318,6993,100,62.07,54.58,69.06,56.76,55.11,58.41,-5.31,-12.4,2.38,0.166,1.09,0.96,1.22
D01BA02,281,9002,100,52.4,42.99,60.14,58.69,57.14,60.24,6.29,-1.64,15.86,0.128,0.89,0.73,1.03
D02AE01,171,8682,51.72,19.75,4.29,84.57,57.1,53.17,58.52,37.35,-27.27,52.13,0.186,0.35,0.08,1.48
D05AX52,151,9124,100,55.31,42.16,67.95,58.52,56.62,59.87,3.21,-9.54,15.52,0.572,0.95,0.73,1.17
D06AX01,719,8129,100,58.31,53.27,62.92,57.56,56.09,59.23,-0.75,-5.78,4.64,0.696,1.01,0.92,1.1
D06BB03,104,8918,96.55,51.1,35.63,65.61,58.77,57.32,60.27,7.66,-7.28,23.17,0.336,0.87,0.61,1.13
D06BB10,171,8703,96.55,58.34,44.78,71.52,58.44,56.57,59.88,0.11,-13.6,13.65,0.894,1,0.77,1.24
D06BX01,104,8757,100,50.39,31.65,69.88,58.41,56.58,59.88,8.02,-12.38,26.78,0.330,0.86,0.54,1.22
D07AA02,282,5810,100,56.19,48.67,64.13,58.18,56.31,60.14,1.99,-6.55,9.76,0.622,0.97,0.83,1.11
D07AB02,792,5401,100,57.29,52.69,61.5,58.21,56.1,60.03,0.92,-3.95,5.19,0.738,0.98,0.91,1.07
